ID;TYPE;NAME;AGE;GENDER;IS_AGRESIVE;IS_FRIENDLY
0;2;shivering goat;16;Z;Y;N
1;8;tense puma;13;M;Y;Y
2;9;light rodent;3;Z;Y;Y
3;4;fine lungfish;8;Z;N;Y
4;5;terrible catshark;5;M;N;N
5;0;parental cattle;3;Z;N;Y
6;2;implicit kite;13;M;N;N
7;2;coming clam;10;M;Y;Y
8;6;tame python;12;Z;N;Y
9;6;native xerinae;17;Z;Y;N
10;1;real marten;13;Z;N;N
11;7;weak leech;8;Z;Y;N
12;5;collective moth;18;M;N;Y
13;4;eligible tapir;1;Z;Y;N
14;5;diplomatic gull;12;Z;N;Y
15;8;leading coral;13;M;Y;N
16;5;naval horse;18;M;N;Y
17;5;long kingfisher;14;Z;N;Y
18;2;beautiful shrimp;9;Z;N;N
19;7;cuddly python;9;Z;N;N
20;9;early marmot;8;M;N;N
21;2;dry crab;14;M;N;N
22;3;damp reindeer;2;Z;N;Y
23;0;hissing stork;20;M;Y;N
24;6;nosy fish;16;Z;Y;N
25;9;happy bison;8;Z;Y;Y
26;3;spare impala;3;M;N;N
27;2;magenta koi;4;M;Y;N
28;5;powerful grouse;6;Z;Y;N
29;5;quickest angelfish;15;M;Y;Y
30;0;mere llama;16;Z;N;N
31;3;distinctive emu;7;Z;N;N
32;4;renewed hamster;1;Z;N;N
33;9;divine ermine;8;Z;Y;Y
34;4;brown meadowlark;17;Z;Y;N
35;7;concerned goldfish;8;M;Y;N
36;4;established lungfish;12;Z;Y;N
37;4;loud camel;9;M;Y;Y
38;2;possible kingfisher;11;Z;N;N
39;6;lively snake;12;Z;Y;Y
40;3;ancient pelican;12;M;N;Y
41;0;dirty hippopotamus;9;M;N;Y
42;5;grumpy hawk;19;Z;N;N
43;8;lucky hare;7;M;N;N
44;5;resulting bee;5;M;Y;Y
45;4;yummy earwig;3;Z;N;N
46;3;convinced peacock;6;Z;N;N
47;7;breakable clownfish;8;M;Y;N
48;8;extended lizard;19;M;N;Y
49;1;worrying seahorse;12;Z;Y;Y
50;4;visiting turkey;12;M;Y;N
51;8;excited donkey;10;M;Y;N
52;6;only beaver;14;Z;N;Y
53;1;careful shrimp;6;Z;N;Y
54;5;fancy ladybug;8;Z;Y;Y
55;6;brief hare;7;M;N;N
56;2;fiscal catfish;3;M;Y;N
57;9;hollow bovid;11;M;Y;N
58;9;chronic caterpillar;11;M;Y;Y
59;3;wrong lizard;18;M;Y;Y
60;5;icy junglefowl;6;M;Y;Y
61;0;clumsy bobcat;5;Z;Y;N
62;4;regulatory piranha;12;M;Y;N
63;9;bitter chinchilla;17;Z;Y;Y
64;1;absent pig;8;Z;Y;N
65;1;preferred quokka;8;M;N;Y
66;0;naval eagle;8;Z;N;Y
67;1;thorough sparrow;16;M;Y;N
68;2;filthy heron;2;M;N;N
69;4;brave minnow;3;Z;N;N
70;3;curved guanaco;15;Z;Y;N
71;4;slow earwig;20;Z;Y;N
72;2;tiny coyote;18;Z;N;N
73;5;crooked guanaco;14;M;Y;Y
74;5;fair crow;6;M;N;Y
75;9;zany pig;5;M;Y;N
76;8;striped parakeet;7;Z;Y;Y
77;6;fair goat;4;Z;N;Y
78;8;academic angelfish;12;M;N;N
79;0;persistent leopon;11;Z;Y;N
80;0;ugly fish;11;M;N;N
81;4;literary eel;8;M;Y;N
82;8;generous dog;15;Z;Y;Y
83;6;efficient guppy;3;Z;Y;N
84;9;beautiful mite;17;Z;Y;Y
85;5;hollow cicada;7;M;N;N
86;2;biological heron;15;Z;Y;N
87;5;proud marsupial;15;M;Y;N
88;6;fundamental reptile;4;M;N;Y
89;3;sensible cephalopod;3;M;Y;N
90;1;willing sparrow;12;Z;Y;Y
91;6;united tuna;3;M;N;N
92;1;convenient quail;13;M;N;N
93;5;eventual goldfish;4;M;Y;N
94;8;curved spider;3;M;N;N
95;5;eligible rodent;5;M;Y;Y
96;5;statutory smelt;12;Z;N;Y
97;7;helpless gamefowl;15;M;Y;Y
98;2;residential moth;4;Z;Y;Y
99;1;criminal pig;6;Z;Y;Y
100;4;bright parakeet;3;Z;Y;Y
101;2;gradual cuckoo;12;Z;Y;Y
102;0;naval ostrich;2;M;N;Y
103;9;smoggy moth;2;Z;Y;Y
104;7;cool starfish;5;M;N;N
105;7;slim swordfish;10;Z;Y;N
106;7;quiet beaver;20;M;Y;Y
107;3;entire toucan;18;Z;Y;N
108;3;public wildfowl;12;M;N;N
109;9;solar viper;11;Z;N;N
110;0;spiritual moth;2;Z;N;Y
111;2;odd emu;8;M;N;N
112;3;overseas guanaco;8;M;N;Y
113;8;rainy hippopotamus;2;M;N;N
114;4;remote leech;13;M;N;Y
115;5;chilly cod;20;M;N;Y
116;7;distinct flea;4;Z;N;Y
117;1;serious flyingfish;14;M;N;N
118;1;unsightly quelea;12;M;Y;Y
119;5;silly vole;2;M;N;Y
120;7;secure jellyfish;4;Z;Y;N
121;5;sympathetic limpet;20;M;N;N
122;2;grieving mollusk;10;M;Y;N
123;6;rich dog;8;M;N;Y
124;9;fundamental grouse;19;M;N;N
125;5;tremendous guan;4;M;N;N
126;1;kind macaw;20;Z;Y;N
127;2;comfortable perch;15;Z;N;Y
128;9;fierce puffin;19;Z;Y;Y
129;3;integral ptarmigan;4;M;Y;N
130;6;odd cat;6;Z;Y;Y
131;0;extra mule;14;M;N;Y
132;4;decent albatross;14;M;Y;Y
133;9;healthy booby;19;Z;N;Y
134;5;loud clam;1;Z;N;N
135;8;encouraging lizard;17;Z;N;Y
136;2;beautiful mosquito;6;M;Y;N
137;1;specific cheetah;17;M;Y;N
138;2;compatible wolverine;11;M;Y;N
139;8;adjacent puffin;7;Z;Y;Y
140;4;cute tortoise;15;Z;N;Y
141;4;compatible bass;8;Z;Y;Y
142;6;swift puma;4;M;N;N
143;7;gross hamster;3;Z;Y;Y
144;3;mute bass;19;M;N;Y
145;3;orange carp;18;M;N;Y
146;0;christian python;11;M;Y;Y
147;0;comfortable worm;17;M;N;N
148;8;scrawny amphibian;18;Z;N;Y
149;0;extreme fly;9;M;N;Y
150;2;coherent basilisk;5;M;N;Y
151;6;short yak;3;M;Y;Y
152;2;unusual galliform;10;Z;N;N
153;5;outer boa;18;M;N;Y
154;7;classical coral;8;Z;Y;N
155;9;beautiful booby;20;Z;N;N
156;3;fast coral;15;Z;N;N
157;4;considerable monkey;8;Z;N;Y
158;6;silly echidna;4;Z;N;Y
159;8;poised rattlesnake;2;M;Y;Y
160;6;interior eagle;16;M;N;N
161;1;conscious bass;17;M;Y;N
162;5;future porcupine;10;Z;N;N
163;4;conceptual pigeon;12;M;Y;Y
164;0;excess peacock;12;Z;N;Y
165;0;dull hamster;4;M;N;Y
166;7;interesting asp;18;M;N;Y
167;0;enthusiastic tern;20;Z;Y;Y
168;2;doubtful blackbird;5;Z;N;N
169;1;afraid guppy;18;Z;N;N
170;9;white thrush;15;M;N;Y
171;6;ugly kingfisher;3;Z;Y;Y
172;3;good wildebeest;12;M;Y;N
173;3;literary rat;2;M;Y;Y
174;1;sour toad;17;M;N;Y
175;2;random dove;2;Z;N;N
176;1;environmental lark;4;Z;Y;N
177;4;broad spider;3;M;Y;N
178;4;charming ape;11;M;Y;Y
179;0;disappointed falcon;15;M;N;N
180;5;fat newt;20;M;N;Y
181;0;advanced lemming;5;Z;Y;Y
182;5;uneven wildebeest;12;M;Y;N
183;7;terrible dog;14;Z;N;Y
184;7;empirical magpie;15;Z;N;N
185;4;gradual booby;8;Z;Y;N
186;7;fierce horse;8;M;Y;Y
187;3;atomic pigeon;14;M;Y;N
188;2;cheerful snail;7;M;N;N
189;2;just marsupial;16;Z;N;Y
190;3;formidable chimpanzee;19;M;N;Y
191;0;bored rooster;15;Z;N;N
192;4;sad cuckoo;10;Z;Y;N
193;7;chosen dinosaur;15;Z;N;N
194;9;harsh silverfish;18;M;N;N
195;8;incredible jellyfish;6;M;Y;Y
196;1;intense hamster;1;M;Y;N
197;3;active hornet;16;M;Y;N
198;7;hidden meerkat;11;M;N;Y
199;7;shy tahr;18;Z;N;Y
200;8;divine mammal;13;Z;Y;Y
201;9;arbitrary thrush;18;M;Y;Y
202;9;crooked caribou;18;Z;N;Y
203;8;lazy bovid;13;Z;N;N
204;6;final armadillo;19;M;N;Y
205;1;clever earthworm;7;Z;N;N
206;1;tremendous wallaby;2;Z;N;N
207;8;medical porpoise;5;Z;N;N
208;3;white lizard;3;M;N;Y
209;3;fair dolphin;20;M;Y;N
210;9;pale viper;1;M;Y;N
211;2;new llama;13;Z;N;N
212;5;silly porpoise;4;Z;Y;N
213;0;dead crayfish;4;Z;N;N
214;9;inadequate tick;7;Z;Y;N
215;3;dry landfowl;4;M;Y;N
216;3;artistic donkey;7;Z;N;Y
217;1;different tuna;15;Z;N;N
218;6;wild tick;17;Z;N;Y
219;8;wee amphibian;19;M;Y;N
220;5;whispering lizard;12;Z;N;N
221;4;stuck orca;17;Z;N;Y
222;4;blue kingfisher;13;Z;Y;N
223;4;ultimate orca;13;Z;N;N
224;7;weak ferret;3;M;Y;Y
225;6;wide hedgehog;3;M;N;Y
226;0;mad landfowl;5;M;Y;Y
227;9;religious giraffe;15;M;N;Y
228;6;labour landfowl;10;Z;N;Y
229;0;quiet albatross;20;Z;Y;Y
230;3;northern ferret;20;M;Y;Y
231;6;agreeable angelfish;5;Z;N;N
232;6;intellectual hamster;7;M;N;Y
233;0;relevant prawn;10;M;N;N
