ID;FULL_NAME;AGE;GENDER
0;balanced shrimp;10;M
1;persistent ant;68;Z
2;specified giraffe;98;M
3;embarrassed lamprey;47;M
4;raw smelt;40;M
5;awful snipe;26;Z
6;famous smelt;60;Z
7;rolling tortoise;57;M
8;delicate armadillo;98;Z
9;difficult sheep;29;Z
10;square ox;66;Z
11;misleading roadrunner;45;Z
12;faithful shrimp;41;M
13;robust swift;87;Z
14;fat eagle;59;Z
15;wicked sailfish;84;M
16;rear carp;49;Z
17;bitter scallop;74;M
18;awake koi;77;M
19;delightful felidae;35;Z
20;tender rodent;20;M
21;forward porcupine;18;M
22;structural tuna;78;M
23;beautiful anteater;93;M
24;embarrassed weasel;93;Z
25;creepy kiwi;23;Z
26;frightened silverfish;54;Z
27;adorable tyrannosaurus;35;Z
28;worthwhile rat;30;Z
29;low narwhal;80;Z
30;possible leopard;11;Z
31;firm halibut;68;M
32;interested bug;88;M
33;actual pelican;12;M
34;surprised llama;31;Z
35;linguistic mite;13;Z
36;obliged dormouse;71;M
37;scary crayfish;48;Z
38;nervous shark;58;M
39;loose porcupine;54;M
40;fixed clownfish;18;Z
41;old worm;81;Z
42;native condor;66;Z
43;honest parrot;89;Z
44;friendly iguana;15;M
45;smoggy wombat;44;M
46;purple beaver;80;M
47;responsible moose;95;Z
48;doubtful squirrel;61;M
49;medieval antelope;16;M
50;certain rat;94;Z
51;concrete quokka;18;M
52;difficult cuckoo;14;Z
53;sacred crayfish;71;M
54;judicial termite;79;Z
55;nasty frog;42;M
56;quaint thrush;56;Z
57;rigid woodpecker;30;M
58;retired donkey;41;Z
59;slippery planarian;93;M
60;wandering mastodon;90;M
61;glad gull;17;Z
62;unpleasant guanaco;49;Z
63;uneven swallow;96;Z
64;adorable leopard;77;Z
65;working boar;37;Z
66;welcome vole;69;M
67;lexical silverfish;56;Z
68;specified hyena;98;M
69;expensive dinosaur;65;M
70;minor tick;37;Z
71;deep marmoset;24;M
72;powerful grasshopper;65;M
73;alive tiglon;92;M
74;fat bison;73;Z
75;fashionable koi;16;Z
76;advisory zebra;30;Z
77;silly deer;63;M
78;classical goldfish;82;M
79;gleaming flea;38;M
80;impossible mole;95;Z
81;superb raccoon;57;Z
82;indirect tick;43;Z
83;chief pike;46;M
84;individual cat;20;M
85;embarrassed shrew;77;M
86;gorgeous guppy;11;Z
87;unknown falcon;14;M
88;molecular tarantula;33;Z
89;rough narwhal;40;Z
90;damaged kingfisher;94;M
91;provincial guanaco;52;M
92;shrill fly;58;Z
93;numerous gayal;65;M
94;generous scallop;18;M
95;adverse scallop;85;Z
96;dual elk;11;Z
97;clever ladybug;35;Z
98;developed hawk;84;Z
99;fashionable angelfish;44;Z
100;slow flamingo;70;Z
101;nasty tarsier;60;Z
102;disgusted centipede;56;M
103;sweet halibut;29;M
104;outdoor urial;48;M
105;angry ermine;90;M
106;anxious ocelot;84;M
107;breezy hummingbird;30;Z
108;square thrush;32;M
109;husky reptile;61;Z
110;golden partridge;76;M
111;sour bison;90;Z
112;medieval grasshopper;88;Z
113;doubtful damselfly;96;M
114;metropolitan thrush;11;M
115;shivering chimpanzee;31;M
116;extreme hookworm;95;M
117;chief ladybug;62;Z
118;monetary dingo;63;Z
119;tasteless skunk;25;M
120;chemical takin;43;M
121;limited snail;20;M
122;persistent marten;25;M
123;confident porpoise;76;M
124;brave bandicoot;16;M
125;united weasel;51;M
126;unsightly rabbit;96;M
127;ridiculous kiwi;65;M
128;thoughtful skunk;76;Z
129;middle asp;39;Z
130;itchy horse;71;M
131;rotten ant;39;Z
132;positive gayal;71;M
133;accepted barracuda;44;Z
134;concerned wasp;28;M
135;confused yak;90;M
136;welcome grasshopper;32;Z
137;anxious quokka;41;M
138;attractive squirrel;27;M
139;fascinating flamingo;97;M
140;fair grouse;43;M
141;actual capybara;67;M
142;residential panda;61;Z
143;deafening silkworm;76;Z
144;many wasp;52;Z
145;conservative fly;66;Z
146;fast moose;29;Z
147;sensible anaconda;16;M
148;fond eagle;76;Z
149;conceptual bug;56;Z
150;dirty meadowlark;44;M
151;important canid;47;M
152;radical kangaroo;54;M
153;absolute primate;61;M
154;tense aardvark;62;Z
155;cruel jellyfish;23;M
156;ashamed swordfish;62;M
157;persistent tick;27;Z
158;democratic dragonfly;87;Z
159;uncertain harrier;37;Z
160;economic wallaby;46;M
161;rough crocodile;50;Z
162;heavy alligator;54;Z
163;rapid emu;87;M
164;mixed crawdad;55;Z
165;appropriate eel;96;Z
166;liquid echidna;46;M
167;key yak;16;M
168;temporary stork;78;M
169;corresponding horse;66;Z
170;interesting pigeon;41;Z
171;statutory puffin;44;Z
172;marked mole;38;M
173;cooperative trout;54;M
174;confidential horse;74;Z
175;handicapped stingray;38;Z
176;big goldfish;48;M
177;inc marten;24;Z
178;blue gazelle;90;Z
179;kind ant;54;Z
180;nice lizard;63;M
181;romantic leopard;97;M
182;victorious limpet;13;M
183;distant hornet;75;Z
184;loose donkey;75;Z
185;cheerful jackal;73;M
186;funny cougar;32;Z
187;vulnerable deer;59;Z
188;dramatic aardwolf;24;M
189;nice carp;90;M
190;obliged perch;74;Z
191;flat armadillo;89;M
192;adverse owl;46;M
193;rich python;78;M
194;successful sheep;66;Z
195;commercial pig;31;Z
196;excellent nightingale;12;M
197;horrible harrier;99;M
198;spicy echidna;60;Z
199;independent raven;49;M
200;teenage amphibian;25;Z
201;important owl;57;M
202;dark marmot;67;M
203;regional coral;64;M
204;cooing fowl;41;Z
205;prickly alpaca;53;M
206;important roundworm;82;M
207;mammoth cat;20;M
208;fine spoonbill;11;Z
209;sorry hippopotamus;70;M
210;overwhelming eagle;19;Z
211;acceptable horse;12;M
212;desirable marten;41;Z
213;fragile panda;88;Z
214;annoyed camel;45;Z
215;progressive cricket;46;M
216;shallow guineafowl;74;Z
217;principal tahr;22;M
218;charming bobolink;55;M
219;usual partridge;59;Z
220;depressed hummingbird;83;M
221;cruel mouse;70;M
222;inner goat;70;Z
223;profound leech;40;Z
224;brown falcon;95;Z
225;plain anglerfish;66;M
226;different quelea;12;M
227;regional gull;59;Z
228;mental snipe;92;Z
229;magenta elk;44;M
230;confident horse;87;Z
231;coming canid;75;M
232;slimy goat;87;M
233;surrounding albatross;83;M
234;strong swordfish;70;Z
235;prominent cicada;48;M
236;white antlion;13;M
237;lively lynx;24;M
238;distant ocelot;84;M
239;colourful buzzard;68;M
240;sparkling catshark;48;Z
241;faithful narwhal;54;M
242;wonderful hyena;74;Z
243;top asp;85;M
244;naval peacock;31;M
245;expensive chicken;77;M
246;troubled urial;79;M
247;red bat;50;Z
248;worthwhile wildfowl;97;M
249;screeching crayfish;33;M
250;physical goldfish;30;Z
251;wise moose;77;M
252;wonderful spoonbill;34;M
253;doubtful cricket;25;M
254;rolling lynx;21;M
255;difficult coral;64;Z
256;redundant parrotfish;37;Z
257;tropical canid;72;Z
258;labour marmoset;31;Z
259;brave perch;95;Z
260;visible scallop;87;Z
261;artificial iguana;59;Z
262;spotty sloth;11;M
263;massive rabbit;92;M
264;new tiger;62;M
265;remaining kingfisher;56;M
266;adjacent tick;63;M
267;neighbouring cattle;53;Z
268;cruel gerbil;88;M
269;disastrous crayfish;74;Z
270;cooing reindeer;56;Z
271;arrogant carp;32;M
272;amused starfish;19;M
273;musical herring;78;M
274;puzzled nightingale;78;M
275;profound rhinoceros;48;M
276;straight pony;35;M
277;bored buzzard;88;M
278;aesthetic swan;49;Z
279;ok carp;21;M
280;hilarious python;41;M
281;personal koi;50;M
282;negative monkey;50;Z
283;proud krill;45;Z
284;pleasant peacock;22;Z
285;prickly crow;56;M
286;conceptual swan;47;Z
287;misleading ferret;90;M
288;democratic wallaby;35;Z
289;plastic squid;68;M
290;exciting rabbit;76;Z
291;sacred sturgeon;29;Z
292;sole hornet;74;M
293;social limpet;46;M
294;growing octopus;76;Z
295;yellow warbler;67;Z
296;live clownfish;96;M
297;legitimate crawdad;75;M
298;immense dolphin;80;Z
299;dizzy dog;52;M
300;odd koala;35;Z
301;dirty sawfish;28;M
302;prior silverfish;51;M
303;premier albatross;73;M
304;weekly gorilla;49;M
305;lively galliform;78;Z
306;clever ladybug;23;M
307;frightened skunk;89;M
308;worrying cattle;88;Z
309;faithful planarian;69;M
310;armed hedgehog;52;Z
311;scrawny tahr;71;Z
312;loud crawdad;26;Z
313;squealing reptile;16;Z
314;ridiculous cardinal;73;M
315;okay newt;48;M
316;pleasant sloth;78;M
317;stingy weasel;23;Z
318;aesthetic llama;97;Z
319;remote macaw;67;M
320;fixed lion;88;Z
321;significant wasp;19;Z
322;narrow wallaby;47;Z
323;tough cuckoo;16;M
324;semantic alpaca;94;M
325;cool goat;17;M
326;honest wildebeest;26;Z
327;weird koi;25;M
328;obliged ferret;81;Z
329;light urial;70;Z
330;bitter manatee;32;Z
331;filthy tarsier;10;M
332;beautiful bovid;56;M
333;huge muskox;17;M
334;profound mite;70;M
335;stuck wombat;27;Z
336;systematic cardinal;69;M
337;fierce asp;36;M
338;huge swift;15;M
339;round gibbon;15;M
340;personal finch;84;Z
341;sole ant;54;M
342;obnoxious dragon;89;M
343;embarrassed firefly;73;M
344;greasy constrictor;97;M
345;amateur eel;56;M
346;damaged scorpion;62;M
347;net shark;42;Z
348;supreme horse;60;M
349;criminal ostrich;18;Z
350;frozen fly;56;Z
351;tropical rodent;66;Z
352;statutory parakeet;29;Z
353;fundamental panda;99;M
354;glad albatross;10;Z
355;hard stoat;82;M
356;damp hawk;55;M
357;clear marsupial;80;M
358;sheer goldfish;98;M
359;moaning mammal;10;M
360;unhappy marsupial;28;Z
361;solid sheep;93;M
362;spiritual antelope;75;M
363;liable galliform;65;M
364;far horse;69;M
365;immense cattle;33;Z
366;total python;14;Z
367;high otter;15;M
368;bumpy dog;16;M
369;zealous parrot;19;Z
370;pleased llama;33;M
371;shallow ladybug;56;Z
372;weekly slug;30;M
373;nice ox;53;Z
374;naval chameleon;93;M
375;quaint fly;49;M
376;ugliest tiglon;43;M
377;advanced bobcat;10;M
378;distinct pig;88;M
379;silly rat;75;M
380;vague wildebeest;96;M
381;wealthy hedgehog;52;Z
382;junior goose;63;Z
383;angry dragonfly;31;Z
384;ashamed salmon;90;M
385;concerned alligator;12;M
386;semantic warbler;78;M
387;determined mole;21;Z
388;commercial mule;63;Z
389;young worm;47;Z
390;aggressive sailfish;16;M
391;sheer crocodile;48;M
392;hissing crow;36;M
393;precious albatross;36;M
